
> @hatef/partner-web@0.1.0 dev E:\github\hatef-new version\frontend\partner-web
> dotenv -e ../../.env -- next dev --webpack --port 3001

▲ Next.js 16.2.11 (webpack)
- Local:         http://localhost:3001
- Network:       http://192.168.100.66:3001
✓ Ready in 5.4s

 GET /login 200 in 64ms (next.js: 3ms, proxy.ts: 6ms, application-code: 55ms)
 GET /login 200 in 80ms (next.js: 4ms, proxy.ts: 6ms, application-code: 70ms)
 GET /login 200 in 78ms (next.js: 4ms, proxy.ts: 5ms, application-code: 70ms)
 GET /login 200 in 69ms (next.js: 3ms, proxy.ts: 6ms, application-code: 60ms)
 GET /login 200 in 71ms (next.js: 3ms, proxy.ts: 7ms, application-code: 61ms)
 GET /login 200 in 69ms (next.js: 3ms, proxy.ts: 6ms, application-code: 59ms)
 GET /login 200 in 67ms (next.js: 3ms, proxy.ts: 6ms, application-code: 58ms)
 GET /login 200 in 78ms (next.js: 4ms, proxy.ts: 6ms, application-code: 67ms)
 GET /login 200 in 157ms (next.js: 4ms, proxy.ts: 10ms, application-code: 143ms)
 GET /login 200 in 67ms (next.js: 5ms, proxy.ts: 5ms, application-code: 56ms)
 GET /login 200 in 69ms (next.js: 3ms, proxy.ts: 6ms, application-code: 59ms)
 GET /login 200 in 73ms (next.js: 6ms, proxy.ts: 4ms, application-code: 63ms)
 GET /login 200 in 90ms (next.js: 5ms, proxy.ts: 6ms, application-code: 78ms)
 GET /login 200 in 85ms (next.js: 5ms, proxy.ts: 6ms, application-code: 74ms)
 GET /login 200 in 130ms (next.js: 6ms, proxy.ts: 11ms, application-code: 114ms)
 GET /login 200 in 95ms (next.js: 3ms, proxy.ts: 7ms, application-code: 84ms)
 GET /login 200 in 71ms (next.js: 4ms, proxy.ts: 6ms, application-code: 61ms)
 GET /login 200 in 94ms (next.js: 3ms, proxy.ts: 6ms, application-code: 84ms)
 GET /login 200 in 90ms (next.js: 5ms, proxy.ts: 6ms, application-code: 79ms)
 GET /login 200 in 76ms (next.js: 4ms, proxy.ts: 9ms, application-code: 64ms)
 GET /login 200 in 87ms (next.js: 3ms, proxy.ts: 10ms, application-code: 73ms)
 GET /login 200 in 100ms (next.js: 5ms, proxy.ts: 7ms, application-code: 87ms)
 GET /login 200 in 97ms (next.js: 5ms, proxy.ts: 9ms, application-code: 83ms)
 GET /login 200 in 68ms (next.js: 3ms, proxy.ts: 6ms, application-code: 59ms)
 GET /login 200 in 73ms (next.js: 5ms, proxy.ts: 8ms, application-code: 60ms)
 GET /login 200 in 123ms (next.js: 5ms, proxy.ts: 10ms, application-code: 107ms)
 GET /login 200 in 85ms (next.js: 3ms, proxy.ts: 5ms, application-code: 77ms)
 GET /login 200 in 87ms (next.js: 5ms, proxy.ts: 7ms, application-code: 74ms)
 GET /login 200 in 86ms (next.js: 4ms, proxy.ts: 7ms, application-code: 76ms)
 GET /login 200 in 73ms (next.js: 4ms, proxy.ts: 5ms, application-code: 64ms)
 GET /login 200 in 90ms (next.js: 3ms, proxy.ts: 8ms, application-code: 79ms)
 GET /login 200 in 68ms (next.js: 5ms, proxy.ts: 4ms, application-code: 58ms)
 GET /login 200 in 70ms (next.js: 3ms, proxy.ts: 8ms, application-code: 60ms)
 GET /login 200 in 78ms (next.js: 3ms, proxy.ts: 8ms, application-code: 67ms)
 GET /login 200 in 67ms (next.js: 7ms, proxy.ts: 5ms, application-code: 55ms)
 GET /login 200 in 85ms (next.js: 4ms, proxy.ts: 7ms, application-code: 75ms)
 GET /login 200 in 74ms (next.js: 3ms, proxy.ts: 5ms, application-code: 66ms)
 GET /login 200 in 76ms (next.js: 3ms, proxy.ts: 4ms, application-code: 69ms)
 GET /login 200 in 61ms (next.js: 3ms, proxy.ts: 5ms, application-code: 53ms)
 GET /login 200 in 82ms (next.js: 5ms, proxy.ts: 6ms, application-code: 71ms)
 GET /login 200 in 69ms (next.js: 4ms, proxy.ts: 5ms, application-code: 60ms)
 GET /login 200 in 69ms (next.js: 4ms, proxy.ts: 7ms, application-code: 58ms)
 GET /login 200 in 76ms (next.js: 4ms, proxy.ts: 6ms, application-code: 66ms)
 GET /login 200 in 75ms (next.js: 3ms, proxy.ts: 5ms, application-code: 67ms)
 GET /login 200 in 83ms (next.js: 4ms, proxy.ts: 5ms, application-code: 74ms)
 GET /login 200 in 68ms (next.js: 3ms, proxy.ts: 6ms, application-code: 59ms)
 GET /login 200 in 78ms (next.js: 5ms, proxy.ts: 7ms, application-code: 66ms)
 GET /login 200 in 86ms (next.js: 3ms, proxy.ts: 4ms, application-code: 79ms)
 GET /login 200 in 58ms (next.js: 3ms, proxy.ts: 4ms, application-code: 50ms)
 GET /login 200 in 62ms (next.js: 3ms, proxy.ts: 5ms, application-code: 54ms)
 GET /login 200 in 67ms (next.js: 4ms, proxy.ts: 5ms, application-code: 59ms)
 GET /login 200 in 58ms (next.js: 3ms, proxy.ts: 6ms, application-code: 50ms)
 GET /login 200 in 64ms (next.js: 3ms, proxy.ts: 5ms, application-code: 55ms)
 GET /login 200 in 88ms (next.js: 5ms, proxy.ts: 8ms, application-code: 75ms)
 GET /login 200 in 68ms (next.js: 4ms, proxy.ts: 6ms, application-code: 58ms)
 GET /login 200 in 71ms (next.js: 4ms, proxy.ts: 5ms, application-code: 63ms)
 GET /login 200 in 64ms (next.js: 3ms, proxy.ts: 4ms, application-code: 56ms)
 GET /login 200 in 82ms (next.js: 4ms, proxy.ts: 7ms, application-code: 71ms)
 GET /login 200 in 68ms (next.js: 3ms, proxy.ts: 6ms, application-code: 59ms)
 GET /login 200 in 68ms (next.js: 4ms, proxy.ts: 5ms, application-code: 60ms)
 GET /login 200 in 100ms (next.js: 4ms, proxy.ts: 7ms, application-code: 89ms)
 GET /login 200 in 64ms (next.js: 3ms, proxy.ts: 5ms, application-code: 56ms)
 GET /login 200 in 62ms (next.js: 3ms, proxy.ts: 5ms, application-code: 54ms)
 GET /login 200 in 60ms (next.js: 3ms, proxy.ts: 5ms, application-code: 53ms)
 GET /login 200 in 74ms (next.js: 3ms, proxy.ts: 5ms, application-code: 66ms)
 GET /login 200 in 95ms (next.js: 4ms, proxy.ts: 8ms, application-code: 83ms)
 GET /login 200 in 109ms (next.js: 3ms, proxy.ts: 5ms, application-code: 101ms)
 GET /login 200 in 68ms (next.js: 4ms, proxy.ts: 6ms, application-code: 58ms)
 GET /login 200 in 57ms (next.js: 3ms, proxy.ts: 5ms, application-code: 50ms)
 GET /login 200 in 102ms (next.js: 3ms, proxy.ts: 6ms, application-code: 93ms)
 GET /login 200 in 75ms (next.js: 4ms, proxy.ts: 6ms, application-code: 65ms)
 GET /login 200 in 72ms (next.js: 3ms, proxy.ts: 6ms, application-code: 62ms)
 GET /login 200 in 98ms (next.js: 7ms, proxy.ts: 7ms, application-code: 85ms)
 GET /login 200 in 81ms (next.js: 3ms, proxy.ts: 6ms, application-code: 72ms)
 GET /login 200 in 132ms (next.js: 3ms, proxy.ts: 7ms, application-code: 122ms)
